Anime,Genre,Description,Studio,Year,Rating
Baka to Test to Shoukanjuu,"['Comedy', 'Romance']","Fumizuki Academy isn't a typical Japanese high school. This unique institution has implemented a new and innovative system to sort its students. At the end of their freshman year, students take a test that divides up the student body. The highest scorers are placed into A class, all the way down until F class, for the lowest of the low.

Unfortunately for Akihisa Yoshii, his supposedly ""great"" intellect wasn't quite enough for such a test, and he's now stuck at the bottom of F class. Naturally, F class has the worst facilities: not only rotten tatami mats and broken tables, but also outdated equipment and worn out furniture. On the bright side, his friend Yuuji Sakamoto is in the same class, and to everyone's surprise, the genius girl Mizuki Himeji has also ended up in the same class due to an unforeseen fever on the day of the test.

Unsatisfied with their perquisites, F class rallies behind Yuuji, determined to take on the higher-tiered classes in order to seize their perks by using the school's Examinations Summon Battle system. The participants can summon fantasy characters—whose power levels are equal to their student's test scores—in an all-out battle. Will F class be able to rise to the top, or will they live up to everyone's expectations and fail?

[Written by MAL Rewrite]
",SILVER LINK.,"Jan 7, 2010",
Katanagatari,"['Action', 'Adventure', 'Romance']","In an Edo-era Japan lush with a variety of sword-fighting styles, Shichika Yasuri practices the most unique one: Kyotouryuu, a technique in which the user's own body is wielded as a blade. The enigmatic seventh head of the Kyotouryuu school, Shichika lives quietly in exile with his sister Nanami until one day—the wildly ambitious strategist Togame barges into their lives.

Togame brazenly requests that Shichika help in her mission to collect twelve unique swords, known as the ""Deviant Blades,"" for the shogunate. Shichika accepts, interested in the girl herself rather than petty politics, and thus sets out on a journey. Standing in their way are the fierce wielders of these legendary weapons as well as other power-hungry entities who seek to thwart Togame's objective. In order to prevail against their enemies, the duo must become an unbreakable team as they forge ahead on a path of uncertainty and peril.

[Written by MAL Rewrite]",White Fox,"Jan 26, 2010",8.33
Seikon no Qwaser,"['Action', 'Supernatural', 'Ecchi']","When Tomo Yamanobe's father—the former headmaster of Saint Mikhailov Academy—disappeared, he left nothing behind except for a piece of art called the ""icon."" Soon after his disappearance, rumors of a serial killer attacking female students of the academy began to spread.

As Tomo and her sister Mafuyu Oribe head home after being tormented at school, Tomo trips over an injured silver-haired boy who abruptly vanishes while being tended to. Mafuyu goes to look for him, only to discover that the church holding the icon is burning down. When she tries to save the painting, the rumored serial killer suddenly attacks her with a mysterious ability to control magnesium. Appearing out of nowhere, the silver-haired boy, who can control iron, rescues Mafuyu.

Mafuyu finds out that the boy, named Alexander Nikolaevich ""Sasha"" Hell, is a ""qwaser""—a being who is capable of controlling an element through the power of ""soma,"" received through the act of breastfeeding. Confused by the ordeal, Mafuyu attempts to move past it with little luck, as Sasha transfers to her class the next day. What will become of Tomo and Mafuyu's normal school life with the danger of other qwasers looming close to them?

[Written by MAL Rewrite]",Hoods Entertainment,"Jan 10, 2010",
Omamori Himari,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi']","After the death of his parents, Yuuto Amakawa lives a pretty ordinary life in the city. The only problem he has to worry about while attending school alongside Rinko, his next-door neighbor, is his cat allergies. That all changes on his sixteenth birthday, when an Ayakashi—a supernatural creature—attacks him for the sins of his ancestors. Luckily, he is saved by Himari, a mysterious cat-woman with a sword, who explains that Yuuto is the scion of a family of demon-slayers, and she is there to protect him now that the charm that kept him hidden from the supernatural forces of the world has lost its power.

Omamori Himari chronicles Yuuto's dealings with the various forces of the supernatural world, as well as the growing number of women that show up on his doorstep, each with their own dark desires. Will Yuuto be able to adjust to his new ""exciting"" environment? Or will the ghost of his (ancestor's) past catch up with him?",Zexcs,"Jan 7, 2010",
Dance in the Vampire Bund,"['Action', 'Drama', 'Romance', 'Supernatural']","On live television, Mina Tepes, the ruler of all vampires, reveals the existence of her species to the world and states her plan to build a sanctuary in Japan for vampires, called the Vampire Bund. Using her family's wealth to pay off the nation's debt, they have agreed to let her build this safe-haven for her fellow creatures of the night. But not everyone is so easily swayed by Mina's influence, as her announcement brings about conflict with humans who believe that the queen's quest for peace is a façade.

Akira Kaburagi does not believe in vampires and gets uneasy whenever they are brought up, although he has yet to realize why. Apart from suffering a head injury a year ago, he lives on blissfully until he meets Mina. She triggers within him memories of a life he had long forgotten, and he soon begins protecting her without understanding why. But Akira's secret is far stranger than he could have ever thought possible—he discovers that he is a werewolf, sworn from birth to protect the vampire queen, even if it costs him his life. Now, as these two dance a rondo of death in the Vampire Bund, Mina and Akira find out just how deep their bond goes.

[Written by MAL Rewrite]",Shaft,"Jan 7, 2010",
Ladies versus Butlers!,"['Comedy', 'Romance', 'Ecchi']","Hino Akiharu lost his parents when he was small and was adopted into his uncle's family. He didn't want to be a burden on his uncle's family and decides to enter a free boarding school as a butler, Hakureiryou high school. However, his delinquent boy-like appearance frightens the girls, who make up the majority of the students. Unable to get along with the classmates, Akiharu meets his childhood crush Saikyou Tomomi. ",Xebec,"Jan 5, 2010",
So Ra No Wo To,"['Sci-Fi', 'Slice of Life']","On the outskirts of the country of Helvetia rests the tranquil town of Seize. Upon its cobbled streets, citizens go about their daily lives, undisturbed by the increasingly tense military relations between Helvetia and the neighboring Roman Empire.

It is under these circumstances that the 1121st platoon of the Helvetian army, stationed at the Clocktower Fortress in Seize, receives a new recruit in the young and spirited Kanata Sorami. Having joined the military to fulfill her dream of learning to play the bugle, she excitedly accepts the tutelage of the Sergeant Major, Rio Kazumiya, who happens to be a skilled trumpeter. Working alongside them are the aloof mechanic, Noël Kannagi, the feisty gunner, Kureha Suminoya, and the compassionate Captain Felicia Heideman; together, they experience the beauty of life in Seize and the lasting joy of a community that has persevered in spite of the crumbling world around them.

[Written by MAL Rewrite]",A-1 Pictures,"Jan 5, 2010",
Nodame Cantabile: Finale,"['Comedy', 'Romance']","Shinichi Chiaki is quickly making a name for himself as the principal conductor of the revitalized Roux-Marlet Orchestra, and Megumi ""Nodame"" Noda has made leaps and bounds as a pianist at the Conservatoire de Paris. However, tensions mount between the two as Nodame feels left behind by Chiaki's growing success and his close friendship with legendary piano prodigy Rui Son. Disregarding her teacher Professor Charles Auclair's advice, Nodame enters another piano competition in an attempt to jumpstart her own performance career. 

Meanwhile, those around Chiaki and Nodame are at their own crossroads. Rui begins to doubt herself after hearing Nodame's playing and being denied tutelage from Auclair; Maestro Franz von Stresemann faces the reality of his mortality; pianists Yunlong Li and Tatiana Vishneva feverishly prepare for a competition, while the latter also struggles with her growing feelings for oboist and fellow student Yasunori Kuroki. 

As Chiaki, Nodame, and their friends continue on their respective journeys, they must not only strive to stay true to themselves, but also remember where it all started.

[Written by MAL Rewrite]",J.C.Staff,"Jan 15, 2010",8.24
Hanamaru Youchien,"['Comedy', 'Slice of Life']","Anzu goes to a kindergarten with her friends, the shy Koume and the eccentric Hiiragi. Together they try to attract attention from their caretaker Tsuchida. However, he is clearly more interested in the pretty Yamamoto who supervises the class next door.",Gainax,"Jan 11, 2010",
Ookamikakushi,"['Action', 'Horror', 'Mystery', 'Supernatural']","Due to his father's job, 15-year-old Hiroshi Kuzumi and his family move to the mountain town of Jouga. While some teenagers might have to worry about fitting in or feel out of place in a new environment, Hiroshi is welcomed enthusiastically at school by most of his new classmates. In fact, it seems like they just can't get enough of him, and he makes two friends rather quickly: the clingy and overly-affectionate Isuzu Tsumuhana, who is also his neighbor; and Kaname Asagiri, who also recently moved to Jouga. All in all, Hiroshi's new life seems to be quite normal—until people start disappearing.

Hiroshi is told that the missing townsfolk have simply moved away or suddenly transferred, but he can't shake the feeling that something is wrong. Meanwhile, in the dead of night under a red moon, masked individuals led by a girl with a scythe stalk their prey in the darkened streets of Jouga. Who are they, and are any of the residents safe from their wrath?

[Written by MAL Rewrite]",AIC,"Jan 8, 2010",
Chu-Bra!!,"['Comedy', 'Ecchi']","The story centers on Nayu, a middle school girl who shocks her schoolmates on the first day of school by wearing black lace panties. She likes this kind of underwear, and she tries to ""spread the word on the merits of [these kinds of] underwear"" via an underwear club with her schoolmates, who are worried about their bodies' development and which underwear to choose.

(Source: ANN)",Zexcs,"Jan 4, 2010",
Heartcatch Precure!,"['Action', 'Comedy', 'Fantasy', 'Slice of Life']","Young flower enthusiast Tsubomi Hanasaki is often modest and quiet. But with her family moving to a new town, she aims to reinvent her image at her new school as someone more confident and outgoing. On moving day, she dreams of a mysterious tree in the sky guarded by a warrior named ""Cure Moonlight.""

Tsubomi quickly learns that this was no ordinary dream when she encounters two mysterious fairies—Chypre and Coffret—who are being hunted down by a strange woman. When the woman summons a giant monster to attack the city, Tsubomi finds herself transforming into a warrior to fight the enemy! Taking on the alias ""Cure Blossom,"" Tsubomi learns that the woman is part of a villainous group that aims to turn the world into a lifeless desert, with her new duty being to stop it from happening. As Tsubomi continues to battle more monsters and uncover the secrets behind Cure Moonlight, will she find the confidence needed to overcome her timid nature?

[Written by MAL Rewrite]",Toei Animation,"Feb 7, 2010",
Hidamari Sketch x ☆☆☆,"['Comedy', 'Slice of Life']","When we first met Yuno, she'd just been accepted to the prestigious Yamabuki Art School, and it was up to her new neighbors at Hidamari to help her find her way in the big scary world. Now a seasoned vet of the Hidamari Apartments herself, Yuno's newest challenge is to help the latest arrivals, Nazuna and Nori, acclimate to life on their own. Of course, since it IS Hidamari, there are still lots of trials and tribulations ahead, and nothing will ever go quite as expected. But with friends like Miyako, Hiro, and Sae ready to lend a hand, there will always be a ray of sunshine at the end of every storm in Hidamari Sketch x Hoshimittsu.

(Source: Sentai Filmworks)",Shaft,"Jan 8, 2010",
Weiß Survive R,"['Comedy', 'Ecchi']",The second season of Weiß Survive.,Studio Hibari,"Dec 5, 2009",
Cobra The Animation,"['Action', 'Adventure', 'Sci-Fi']","This Cobra adaptation features short arcs of Cobra saving the world, his friends or himself.",Magic Bus,"Jan 2, 2010",
Kaitou Reinya,Comedy,"Reinya appears to be an ordinary girl working at a convenience store but she is in fact, the Phantom Thief Reinya. Together with her assistant Chūtarō in their secret hideout right below the local convenience store, Reinya hatches plans to steal various treasures made of gold. They face an incompetent trio of a perverted police inspector, a policewoman who is a natural airhead, and a detective totally infatuated with Reinya, all of them in a police station beside Reinya's convenience store.

(Source: ANN)",Stingray,"Jan 9, 2010",
Kemono no Souja Erin Recaps,"['Adventure', 'Drama', 'Fantasy', 'Slice of Life']",Summarized version of the 50-episode TV series. Includes all the highlights.,Production I.G,"Jan 9, 2010",
Masuda Kousuke Gekijou Gag Manga Biyori +,Comedy,Based on a shounen gag manga by Masuda Kousuke serialised in Monthly Shounen Jump.,Studio Deen,"Jan 5, 2010",
Chi-Sui Maru,Comedy,"The offensive and defensive battles between Nobuo, an office worker, and Chi-Sui Maru, a mosquito.",,"Feb 6, 2010",
Rose O'Neill Kewpie,Comedy,"Kewpie, the babylike doll that the late American artist Rose O'Neill created for Ladies' Home Journal magazine in 1909, will celebrate its 100th anniversary this December with its first animated project.

(Source: ANN)",TMS Entertainment,"Dec 2, 2009",
Unko-san: Tsuiteru Hito ni Shika Mienai Yousei Junjou Ha,Comedy,"On a legendary island shaped like an unusually regular turd, a population of turd-people and insanely aggressive animals go about their hilarity-packed day to day lives. Central character Yoshiko Un is known as Unko-san, but you're unlikely to meet her--the island appears only to the fortunate few, to whom they give good luck.

(Source: The Anime Encyclopedia)",Kachidoki Studio,"Jan 10, 2010",
Fairy Tail,"['Action', 'Adventure', 'Fantasy']","In the enchanted Kingdom of Fiore, the lively Lucy Heartfilia has one wish: to join the renowned Fairy Tail—one of the many magical wizard guilds scattered around the continent. Luckily, a chance encounter with Natsu Dragneel, the ""Salamander"" of Fairy Tail, whisks her into the legendary guild.

From Natsu's rivalrous antics with ice wizard Gray Fullbuster to the frightening presence of the unmatched combat goddess Erza Scarlet, Fairy Tail's powerful mages have a slight penchant for trouble. Through all the lucrative odd jobs and adventures to save the world from destruction lies an absolute and unyielding trust stronger than family that has formed between each guild member.

Teaming up with Natsu, Gray, and Erza, Lucy finds herself amidst the guild's most misfit wizards. But as they constantly stand in the eye of every danger, there is one name that never ceases to resurface: Zeref, the feared master of dark magic.

[Written by MAL Rewrite]
",A-1 Pictures,"Oct 12, 2009",
Kimi ni Todoke,"['Drama', 'Romance', 'Slice of Life']","Known for her semblance to the Sadako character of The Ring series, Sawako Kuronuma is given the nickname ""Sadako"" and misunderstood to be frightening and malicious like her fictional counterpart, despite having a timid and sweet nature. Longing to make friends and live a normal life, Sawako is naturally drawn to the cheerful and friendly Shouta Kazehaya, the most popular boy in her class. From their first meeting, Sawako has admired Kazehaya's ability to be the center of attention and aspires to be like him.

When Kazehaya organizes a test of courage for the entire class and encourages her to attend, Sawako sees this as an opportunity to get along with her classmates, starting with Ayane Yano and Chizuru Yoshida. Through each new encounter and emotion she experiences, Sawako believes that meeting Kazehaya has changed her for the better. Little does Sawako know, her presence has also changed Kazehaya.

[Written by MAL Rewrite]",Production I.G,"Oct 7, 2009",8.0
Toaru Kagaku no Railgun,"['Action', 'Sci-Fi']","The student-filled Academy City is at the forefront of scientific advancement and home to the esper development program. The seven ""Level 5"" espers are the most powerful in Academy City, and ranked third among them is middle schooler Mikoto Misaka, an electricity manipulator known as ""The Railgun.""
 
When strange incidents begin occurring throughout the city, she finds each crime to be connected to the elusive ""Level Upper,"" a legendary device that allegedly increases the esper level of its user. As the situation escalates, it becomes apparent that there is more to the Level Upper than meets the eye, and that Academy City may be a far more twisted place than the glamorous utopia it appears to be.

Toaru Kagaku no Railgun focuses on Mikoto and her friends—and the dangerous situations they find themselves in—as they get caught up in the matter of the Level Upper. As Mikoto says, ""There's never a dull moment in this city.""

[Written by MAL Rewrite]",J.C.Staff,"Oct 3, 2009",
InuYasha: Kanketsu-hen,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Supernatural']","Thwarted again by Naraku, Inuyasha, Kagome Higurashi, and their friends must continue their hunt for the few remaining Shikon Jewel shards, lest they fully form into a corrupted jewel at the hands of Naraku. But Naraku has plans of his own to acquire them, and will destroy anyone and anything standing in his way—even his own underlings.

The persistent, unyielding danger posed by Naraku forces Sango and Miroku to decide what is most important to them—each other or their duty in battle. Meanwhile, Inuyasha must decide whether his heart lies with Kikyou or Kagome, before fate decides for him. Amid the race to find the shards, Inuyasha and his brother Sesshoumaru must also resolve their feud and cooperate for their final confrontation with Naraku, as it is a battle they must win in order to put a stop to his evil and cruelty once and for all.

[Written by MAL Rewrite]",Sunrise,"Oct 4, 2009",8.2
Kobato.,"['Comedy', 'Drama', 'Fantasy', 'Romance']","The friendly and sincere Kobato Hanato has a wish to go to a particular place no matter what. To fulfill this desire, she is tasked with helping people in their times of distress. For each mended broken heart, a small candy-like fragment is produced and fills a special bottle. Once the bottle is full, her wish will be granted.

As Kobato carries out her mission alongside her stuffed toy companion, Ioryogi, she encounters various people troubled by their different situations. From a child struggling with his parents, a high school girl troubled about romance, and everything in between, Kobato's naturally sweet smile and outgoing personality are ready to brighten their day!

[Written by MAL Rewrite]",Madhouse,"Oct 6, 2009",
Tegamibachi,"['Adventure', 'Fantasy', 'Supernatural']","With his mother taken away from him and having lost everything, Lag Seeing is now a letter whose delivery has been assigned to Gauche Suede, a Letter Bee. Despite their troubling start, the two of them become friends, leading Lag to realize what his aim in life is: to deliver people's most important feelings in the form of letters, just as Gauche has done.

[Written by MAL Rewrite]",Pierrot Plus,"Oct 3, 2009",
Yume-iro Pâtissière,Gourmet,"Aside from her deep passion for eating cakes, the clumsy Ichigo Amano has never been successful at anything.  After an encounter with Henri Lucas, a famous patissier, Ichigo's amazing tasting abilities—although unbeknownst to her—are discovered.  Recognizing her talent, Henri offers her the chance to attend St. Marie Academy, a prestigious culinary school which specializes in desserts.

In spite of the fact that she is a beginner lacking skills, thanks to Henri's recommendation, Ichigo is placed in the topmost group with the ""Sweets Princes."" The princes, famous throughout the school for their magical treats, are Sennosuke Andou, an expert in traditional Japanese sweets; Satsuki Hanabusa, with a flair for candied flowers; and Makoto Kashino, a gifted chocolatier. Ichigo and the Sweets Princes, each accompanied by their ""Sweets Spirits""—fairies who make patissiers' dreams come true—all work towards their goals in the competitive world of sweets.

[Written by MAL Rewrite]",Studio Hibari,"Oct 4, 2009",
Shugo Chara! Party!,Comedy,"After overcoming the threat of the Easter Corporation, Amu Hinamori and the Seiyo Academy Guardians return to their council duties, eliminating any stray X Eggs they find along the way. With four of the five members graduating this year, the state of next year's Guardians Council is up in the air. In an effort to ensure the council's survival, the group recruits two ""Guardian Apprentices"" in the hopes that they will develop their own Heart's Egg someday.

One of the Apprentices they take on is Rikka Hiiragi, a spunky and upbeat girl who is capable of communicating with X Eggs. As the Guardians have not been able to speak with these Eggs previously, Rikka's uncanny ability intrigues them. However, Rikka fears that she will never be accepted as a full-fledged Guardian if they ever find out what exactly she does with her ability. 

[Written by MAL Rewrite]",Satelight,"Oct 3, 2009",
Tatakau Shisho: The Book of Bantorra,"['Action', 'Fantasy']","In a world where dead people turn into books and are stored in the Bantorra Library where anyone who reads a book can learn their past, Bantorra Library is maintained by Armed Librarians who wield psychic powers and their enemy is a religious society known as Sindeki Kyoudan. ",David Production,"Oct 2, 2009",
Fuyu no Sonata,"['Drama', 'Romance']","Based on the Korean Drama of the same name, Yoo Jin falls in love with Joon Sang as a young girl. After losing him in an accident, she decides to marry her childhood friend. However, Yoo Jin meets someone looking exactly like her lost love, putting her in a bind.  The program featured 23 members of the original Korean cast voicing the characters and was broadcast with Japanese subtitles.",KeyEast,"Oct 17, 2009",
Kiddy GiRL-AND,"['Action', 'Comedy', 'Sci-Fi']","Twenty-five years after Éclair and Lumière, (from the flagship Kiddy Grade series), rescued the galaxy from destruction's doorstep, the GTO (Galactic Trade Organization), created after the defeat of the GOTT (Galactic Organization of Trade and Tariffs), act on behalf of universal peace by combating criminal activity.

Their special ES division mirrored after the GOTT's ES (Encounter of Shadow-work) force, now includes publicly acknowledged ES member candidates. The series follows two such trainees, Ascoeur and Q-feuille, as they work their way to ES membership.

(Source: Wikipedia)",Satelight,"Oct 16, 2009",
Anyamal Tantei Kiruminzoo,Comedy," While searching for a run-away cat the twins Riko and Rimu Mikogami find a strange device that transforms them into ""Kirumin."" It also enables them to turn into real animals. Their older sister Nagisa soon joins them. Now the three have cute, funny and sometimes dangerous adventures.",Satelight,"Oct 5, 2009",
Tentai Senshi Sunred 2nd Season,Comedy,The second season of Tentai Senshi Sunred.,AIC ASTA,"Oct 3, 2009",
Battle Spirits: Shounen Gekiha Dan,Adventure,"Dan Bashin is a spirited teenager known for his aggressive playstyle in the card game Battle Spirits, earning him the title of ""Clash King."" One day, a mysterious green-haired girl transports him to the otherworldly land of ""Grand Rolo,"" where disputes are settled by card duels.

Upon his arrival, Dan is immediately thrust into a conflict between the kingdom's imperial army and its oppressed natives. There, he learns that he is a prophetic warrior known as a ""bearer of cores' light,"" chosen to save the land from its evil king. Accompanied by a young boy named Zungurii and the eccentric witch Magisa, Dan travels across Grand Rolo and encounters the other chosen warriors through card battles. 

With the name of the Clash King gaining fame throughout Grand Rolo, secrets that lurk within the shadows of the kingdom's colonial past begin to surface. Only time will tell if Dan's campaign will affect the world on a scale much larger than he ever could have imagined.

[Written by MAL Rewrite]",Sunrise,"Sep 13, 2009",
Kotatsu Neko (TV),Comedy,"Kotatsu Neko is based on a ""live-action science-fiction/fantasy romance"" film of the same name which was released in Japan in 2006. The story is set in a certain neighborhood of Tokyo where two cats live under a kotatsu. Shito is a girlish white cat, while Zero is a cool black cat. The cat's owner, Rei ""Junior"" Fujisaki, is a third-year middle-school hikikomori obsessed with games. He likes a girl in his class, but naturally, he cannot work up the nerve to tell her. Shito herself harbors a secret one-sided love also. 

(Source: ANN)",,"Oct 3, 2009",
Gokyoudai Monogatari,Comedy,"Japan's TV Asahi network will premiere a television anime adaptation of Tetsu Adachi's Baka-Kyoudai (Idiotic Siblings) manga under the title Gokyoudai Monogatari (Sibling Stories) on October 10. The original manga has been running on an irregular schedule in Kodansha's Young Magazine since 1999. The story centers on a sister and her twin brother who live carefree lives in Tokyo's lower-class neighborhoods and have heartwarming encounters with the local people. It received an award of excellence at the 7th Cultural Media Arts Festival in 2003. 

Yuki Matsuoka will voice the sister Onei Jinushi, and Yumiko Kobayashi will play her twin brother Junichirō Jinushi. Sayaka Ohara will play the local restaurant waitress Shizuka.",,"Oct 10, 2009",
Wala! Pyeon-uijeom The Animation,Slice of Life,(No synopsis yet.),,"Oct 23, 2009",
Highschool of the Dead,"['Action', 'Horror', 'Supernatural', 'Ecchi']","It happened suddenly: The dead began to rise and Japan was thrown into total chaos. As these monsters begin terrorizing a high school, Takashi Kimuro is forced to kill his best friend when he gets bitten and joins the ranks of the walking dead. Vowing to protect Rei Miyamoto, the girlfriend of the man he just executed, they narrowly escape their death trap of a school, only to be greeted with a society that has already fallen.

Soon, Takashi and Rei band together with other students on a journey to find their family members and uncover what caused this overwhelming pandemic. Joining them is Saeko Busujima, the beautiful president of the Kendo Club; Kouta Hirano, an otaku with a fetish for firearms; Saya Takagi, the daughter of an influential politician; and Shizuka Marikawa, their hot school nurse. But will the combined strength of these individuals be enough to conquer this undead apocalypse?

[Written by MAL Rewrite]",Madhouse,"Jul 5, 2010",
Shiki,"['Horror', 'Mystery', 'Supernatural', 'Suspense']","Life is idyllic and unassuming in the small town of Sotoba, a simple place where everyone knows everyone. However, tragedy strikes when Megumi Shimizu, a young girl with high aspirations, unexpectedly passes away from an unnamed illness. Over the torrid summer months, as more unexplained deaths crop up around the village, the town's doctor—Toshio Ozaki—begins to suspect that something more sinister than a mere disease is at play. 

Toshio teams up with Natsuno Yuuki, an apathetic and aloof teenager, and siblings Kaori and Akira Tanaka, two of Megumi's friends, to unravel the dark mystery behind the deaths in Sotoba. With their combined efforts, the investigation leads them toward an eerie secret pertaining to the new family in the Kanemasa mansion.

[Written by MAL Rewrite]
",Daume,"Jul 9, 2010",
Kuroshitsuji II,"['Action', 'Comedy', 'Supernatural']","The stage of Kuroshitsuji II opens on the life of Alois Trancy, the young heir to the Trancy earldom. Though he is privileged now, such was not always the case for the hot-tempered boy. Kidnapped and forced into slavery at a young age, he was eventually rescued and returned home, only to have his beloved father pass away soon after.

However, there are certain individuals who doubt Alois' story and legitimacy. And rightfully so, because things in the Trancy household are not as they appear, starting with Alois' black-clad butler with supernatural abilities, Claude Faustus. Who exactly is the mysterious Claude, and what connection does he have with Alois?

Amid the web of lies and deceit running rampant in the mansion, the bond between Alois and Claude will be tested as hell itself arrives at their doorstep.

[Written by MAL Rewrite]",A-1 Pictures,"Jul 2, 2010",
Seitokai Yakuindomo,Comedy,"On his first day of high school at the formerly all-girl's Ousai Private Academy, Takatoshi Tsuda is called out for his untidy uniform by the student council president Shino Amakusa. In apology for delaying Takatoshi for his first class—and stating that the group needs a male point of view to accommodate the arrival of boys at the school—Shino offers him the position of vice president of the student council. Though unwilling, Takatoshi finds himself appointed as the newest member of the student council having yet to even step foot inside the school building.

Takatoshi soon realizes that the other student council members who are more than a little strange: President Shino, who is studious and serious in appearance, but actually a huge pervert, fascinated with the erotic and constantly making lewd jokes; the secretary Aria Shichijou, who may seem like a typical sheltered rich girl, but is just as risque as the president, if not more so; and finally, the treasurer Suzu Hagimura, who may act fairly normal, but has the body of an elementary school student and is extremely self-conscious of it. Surrounded by these colorful characters, the new vice president must now work through a nonstop assault of sexual humor and insanity.

[Written by MAL Rewrite]",GoHands,"Jul 4, 2010",
Amagami SS,Romance,"Two years ago, Junichi Tachibana had a date on Christmas Eve but was stood up instead. Since then, he has had a hard time showing others his true feelings in fear of being rejected again. However, as luck would have it, Junichi may have a second chance at love when he meets several girls whom he becomes romantically interested in: Haruka Morishima, the energetic and popular upperclassman with a love for cute things; Kaoru Tanamachi, his childhood friend who harbors secret feelings for him; Sae Nakata, the timid transfer student who is shy around men; Ai Nanasaki, a girl on the swim team who has a bad first impression of Junichi; Rihoko Sakurai, a childhood friend with a love for sweets; and Tsukasa Ayatsuji, a seemingly perfect class representative who has a hidden dark side. As Christmas Eve approaches, Junichi can only hope that this will be the year he will finally spend the holidays with the one he truly loves.
 
[Written by MAL Rewrite]",AIC,"Jul 2, 2010",
Densetsu no Yuusha no Densetsu,"['Action', 'Adventure', 'Fantasy']","""Alpha Stigma"" are known to be eyes that can analyze all types of magic. However, they are more infamously known as cursed eyes that can only bring destruction and death to others.

Ryner Lute, a talented mage and also an Alpha Stigma bearer, was once a student of the Roland Empire's Magician Academy, an elite school dedicated to training magicians for military purposes. However, after many of his classmates died in a war, he makes an oath to make the nation a more orderly and peaceful place, with fellow survivor and best friend, Sion Astal.

Now that Sion is the the king of Roland, he orders Ryner to search for useful relics that will aid the nation. Together with Ferris Eris, a beautiful and highly skilled swordswoman, Ryner goes on a journey to search for relics of legendary heroes from the past, and also uncover the secrets behind his cursed eyes.

[Written by MAL Rewrite]",Zexcs,"Jul 2, 2010",
Ookami-san to Shichinin no Nakama-tachi,"['Comedy', 'Romance']","Tomboy Ryouko Ookami is a fierce boxer and the assigned bruiser of her club. Of course, no normal high school club needs a bruiser, but the Otogi Bank operates more akin to an actual bank. Here, the students can ask for favors from the club as long as they promise to return the favor in the future. Sixteen-year-old Ryoushi Morino is a shy boy, a far cry from the Otogi Bank members. To his biggest surprise, after unsuccessfully confessing to Ryouko, he inadvertently finds himself joining the club! 

Ookami-san to Shichinin no Nakama-tachi follows the everyday lives of the Otogi Bank members as they tackle favors that range from the mundane to the dangerous. However, since Ryoushi's sole motivation is to win Ryouko over, she doubts he will be able to have her back in a fight, especially when he can't even stand having people look at him—much less fight anyone!

[Written by MAL Rewrite]",J.C.Staff,"Jul 1, 2010",
Nurarihyon no Mago,"['Action', 'Supernatural']","Rikuo Nura, a part-youkai and part-human boy, grew up as the young master of the Nura Clan. Comprising youkai of all shapes and sizes, Rikuo treated the clan like family, however, he learned that he was the only one among his classmates who saw them in this light. To most, they were terrifying creatures of folklore who ate children and relished in bloodshed. Taking this to heart, he swore to live his life as a normal human.

Normalcy, however, is hard to come by for young Rikuo. Complicating his goal are his youkai attendant, who under the name Tsurara Oikawa, goes to school alongside him; the young onmyouji Yura Keikain; and his close friend Kiyotsugu, who idolizes youkai and hopes to prove their existence. To make matters worse, rival youkai and other entities threaten to harm those Rikuo holds dear.

If he wants to protect what's important to him, Rikuo must acknowledge his ancestry—that he is the grandson of the legendary Nurarihyon—and transform at night into a youkai, becoming worthy of being the next leader of the Nura Clan.

[Written by MAL Rewrite]
",Studio Deen,"Jul 6, 2010",
Sekirei: Pure Engagement,"['Action', 'Comedy', 'Ecchi']","The second stage of the battle royale known as the Sekirei Plan is underway. Shintou Teito has been closed off; no Sekirei or Ashikabi may leave. Minato Sahashi and his harem of Sekirei must now prepare to fight new battles as changes to the rules are put into place. However, not all groups will return to the battle: some Sekirei are loved very much by their Ashikabi partners, who would rather forfeit the prize than see them perish.

In the midst of the action, someone close to Minato may be more involved than he had ever imagined, and threats lurk around every corner. There are even rumors that the ""Single Numbers,"" the most powerful type of Sekirei, have entered the fray. In the eyes of the ""Game Master"" Minaka Hiroto, everything is proceeding according to plan.

[Written by MAL Rewrite]",Seven Arcs,"Jul 4, 2010",
Asobi ni Iku yo!,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']","Kio is just another boring, nice guy with a boring, nice life until he meets a beautiful, curvaceous cat-girl while attending a memorial service for one of his ancestors. Next thing he knows, he's lying in bed with this half-naked beauty next to him! Her name is Eris, and she has come to Earth to learn more about its inhabitants as a representative of the planet Catian. And she's decided to set up shop at Kio's home for her stay on Earth!

Unbeknownst to Kio, there are quite a few organizations who will attempt to capture Eris, looking to keep her existence a secret by any means necessary. What's worse is when people around Kio turn out to secretly be a part of those organizations! Kio will have to work hard to keep Eris safe from these shady groups. Things are about to get mysterious, exciting, and most importantly sexy in Asobi ni Iku yo!",AIC PLUS+,"Jul 11, 2010",
